antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'KEY FOB , BACK DOOR '})","frozenset({'KEY FOB , SHED'})",0.014022960128379213,0.01597333662510801,0.010171583755091964,0.7253521126760564,45.41018133530705,1.0,0.009947590292480895,3.5828663128008893,0.9918877085779034,0.5130759651307597,0.7208938562884154,0.6810686374817685
"frozenset({'KEY FOB , SHED'})","frozenset({'KEY FOB , BACK DOOR '})",0.01597333662510801,0.014022960128379213,0.010171583755091964,0.6367851622874807,45.41018133530705,1.0,0.009947590292480895,2.7145835948805903,0.9938536659510192,0.5130759651307597,0.6316193754777376,0.6810686374817685
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.016343661276385632,0.016244908036044933,0.01157881742994692,0.7084592145015105,43.611155749823226,1.0,0.011313316155539767,3.374330937202788,0.9933043164570193,0.5511163337250293,0.7036449540337713,0.7106125859741594
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.016244908036044933,0.016343661276385632,0.01157881742994692,0.7127659574468085,43.611155749823226,1.0,0.011313316155539767,3.4245813274081387,0.9932046046276262,0.5511163337250293,0.7079935021555349,0.7106125859741594
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.01301073941488705,0.020441920750524627,0.01157881742994692,0.8899430740037951,43.53519832430401,1.0,0.011312852925922072,8.900467375249548,0.9899095355323894,0.5293453724604965,0.887646349586,0.728184097388371
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.020441920750524627,0.01301073941488705,0.01157881742994692,0.5664251207729468,43.535198324304005,1.0,0.011312852925922072,2.2763986288703997,0.9974192456968486,0.5293453724604965,0.5607096282182253,0.728184097388371
frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),0.016763362547833602,0.015133934082212072,0.01078879150722133,0.6435935198821796,42.52651798177437,1.0,0.010535095883426193,2.763322556851975,0.9931335175289396,0.5111111111111111,0.6381168034399801,0.6782404793538142
frozenset({'WOODEN STAR CHRISTMAS SCANDINAVIAN'}),frozenset({'WOODEN HEART CHRISTMAS SCANDINAVIAN'}),0.015133934082212072,0.016763362547833602,0.01078879150722133,0.7128874388254486,42.52651798177436,1.0,0.010535095883426193,3.4245685156714654,0.9914904108369486,0.5111111111111111,0.7079924097229146,0.6782404793538142
frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),frozenset({'FELTCRAFT CUSHION RABBIT'}),0.016047401555363536,0.015998024935193186,0.010541908406369585,0.6569230769230769,41.06276115859449,1.0,0.01028518167614182,2.8681671918929346,0.9915589797559479,0.49024110218140077,0.6513452901816301,0.6579368471035139
frozenset({'FELTCRAFT CUSHION RABBIT'}),frozenset({'FELTCRAFT CUSHION BUTTERFLY'}),0.015998024935193186,0.016047401555363536,0.010541908406369585,0.6589506172839507,41.06276115859449,1.0,0.01028518167614182,2.8850736823173055,0.9915092239298818,0.49024110218140077,0.6533884017836262,0.6579368471035139
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.016343661276385632,0.020441920750524627,0.013578570546846068,0.8308157099697885,40.64274194725396,1.0,0.013244474718260775,5.789887932706719,0.9916017641972013,0.5851063829787232,0.8272850853725403,0.7475334588496285
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.020441920750524627,0.016343661276385632,0.013578570546846068,0.6642512077294686,40.64274194725396,1.0,0.013244474718260775,2.92973902324875,0.9957504118484032,0.5851063829787232,0.6586726694546626,0.7475334588496285
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.015479570423404518,0.018318726083199604,0.011307246019009998,0.7304625199362041,39.8751810916657,1.0,0.011023680008538053,3.6420956138806737,0.9902503947082271,0.5027442371020856,0.725432798581997,0.6738565968953258
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.018318726083199604,0.015479570423404518,0.011307246019009998,0.6172506738544474,39.8751810916657,1.0,0.011023680008538053,2.572232953330401,0.9931143334299393,0.5027442371020856,0.6112327234182856,0.6738565968953258
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.013578570546846068,0.022713245278360696,0.01157881742994692,0.8527272727272728,37.543171936758895,1.0,0.011270404026586881,6.635897717245701,0.9867628267301781,0.4685314685314686,0.8493044886148335,0.6812549407114625
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.022713245278360696,0.013578570546846068,0.01157881742994692,0.5097826086956522,37.543171936758895,1.0,0.011270404026586881,2.0122122285962343,0.995986074068568,0.4685314685314686,0.503034527974406,0.6812549407114625
frozenset({'BATHROOM METAL SIGN'}),frozenset({'KITCHEN METAL SIGN'}),0.02209603752623133,0.012887297864461177,0.010245648685347488,0.4636871508379889,35.98016866799376,1.0,0.009960890468122633,1.8405538925235572,0.9941742227683772,0.41417165668662687,0.4566852923665743,0.6293531539630558
frozenset({'KITCHEN METAL SIGN'}),frozenset({'BATHROOM METAL SIGN'}),0.012887297864461177,0.02209603752623133,0.010245648685347488,0.7950191570881227,35.98016866799375,1.0,0.009960890468122633,4.770709050572966,0.9848996064291179,0.41417165668662687,0.7903875525840547,0.6293531539630558
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.016343661276385632,0.022713245278360696,0.01301073941488705,0.7960725075528701,35.04882273742283,1.0,0.012639521827570058,4.792324678709075,0.9876095267854221,0.49952606635071084,0.7913330028654542,0.6844492972546958
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.022713245278360696,0.016343661276385632,0.01301073941488705,0.5728260869565217,35.048822737422825,1.0,0.012639521827570058,2.3027069507015905,0.9940463906962632,0.49952606635071084,0.5657285006694754,0.6844492972546958
